item,name,description,type,category,subcategory,text,label
http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,"Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state",concept,History,historical event,"The Northeast Flag Replacement (traditional Chinese: 東北易幟; simplified Chinese: 东北易帜; pinyin: Dōngběi Yìzhì) refers to Zhang Xueliang's announcement on 29 December 1928 that all banners of the Beiyang government in Manchuria would be replaced with the flag of the Nationalist government, thus nominally uniting China under one government.


== Origin ==
In April 1928, Chiang Kai-shek was reinstated as commander of the National Revolutionary Army, the position he previously resigned from after taking responsibility for splitting the KMT during the First Northern Expedition. He proceeded with the Second Northern Expedition and was approaching Beijing near the end of May. The Beiyang government in Beijing was forced to dissolve as a result; Zhang Zuolin abandoned Beijing to return to Manchuria and was assassinated in the Huanggutun incident by the Japanese Kwantung Army. However, Manchuria was still held by the Fengtian clique, which hung the banner of the Beiyang government. The ultimate ob",cultural exclusive
http://www.wikidata.org/entity/Q125482,imam,Islamic leadership position,concept,philosophy and religion,religious leader,"Imam (; Arabic: إمام, imām; pl.: أئمة, a'immah) is an Islamic leadership position. For Sunni Muslims, Imam is most commonly used as the title of a prayer leader of a mosque. In this context, imams may lead Islamic prayers, serve as community leaders, and provide religious guidance. Thus for Sunnis, anyone can study the basic Islamic teachings and become an imam.
For most Shia Muslims, the Imams are absolute infallible leaders of the Islamic community after the Prophet. Shias consider the term to be only applicable to the members and descendants of the Ahl al-Bayt, the family of the Islamic prophet Muhammad. In Twelver Shi'ism there are 14 infallibles, 12 of which are Imams, the final being Imam Mahdi who will return at the end of times. The title was also used by the Zaidi Shia Imams of Yemen, who eventually founded the Mutawakkilite Kingdom of Yemen (1918–1970).


== Sunni imams ==
Sunni Islam does not conceive of the role of imams in the same sense as Shia Islam: an important distinc",cultural representative
http://www.wikidata.org/entity/Q15789,FC Bayern Munich,"association football club in Munich, Germany",named entity,sports,sports club,"Fußball-Club Bayern München e. V. (FCB, German pronunciation: [ˈfuːsbalˌklʊp ˈbaɪɐn ˈmʏnçn̩]), commonly known as Bayern Munich (German: Bayern München), FC Bayern (pronounced [ˌɛft͡seː ˈbaɪɐn] ) or simply Bayern, is a German professional sports club based in Munich, Bavaria. They are most known for their men's professional football team, who play in the Bundesliga, the top tier of the German football league system. Bayern are the most successful club in German football and are among the world's most decorated, having won a record 33 national titles, including eleven consecutive titles from 2013 to 2023 and a record 20 national cups, alongside numerous European titles.
Bayern Munich was founded in 1900 by eleven players, led by Franz John. Although Bayern won its first national championship in 1932, the club was not selected for the Bundesliga during its inception in 1963. The club found success in the mid-1970s when, under the captaincy of Franz Beckenbauer, they won the European Cup t",cultural exclusive
http://www.wikidata.org/entity/Q582496,Fome Zero,program intended to eradicate hunger and extreme poverty in Brazil,named entity,politics,government agency,"Fome Zero (Portuguese pronunciation: [ˈfomi ˈzɛɾu], Zero Hunger) is a program of the Government of Brazil introduced by President Luiz Inácio Lula da Silva in 2003, with the goal to eradicate hunger and extreme poverty in the country. It followed the lead of projects that had already put into practice by the Fernando Henrique Cardoso administration, which was named Bolsa Escola (School Stipend), and which had been established in 1995.


== Contents of the program ==
Lula followed the lead of projects that had already put into practice by the Fernando Henrique Cardoso administration, which was named Bolsa Escola (School Stipend), and which had been established in 1995. Lula expanded those projects with the new Fome Zero (""Zero Hunger"") program, which was part of the Bolsa Família (Family Allowance) plan.
The program is co-ordinated by the Ministry of Social Development and Hunger Combat (Ministério do Desenvolvimento Social e Combate à Fome) and was intended to put into action the gover",cultural exclusive
http://www.wikidata.org/entity/Q572811,Anthony Award,awards given at Bouchercon for mystery literature,named entity,Literature,literary award,"The Anthony Awards are literary awards for mystery writers presented at the Bouchercon World Mystery Convention since 1986. The awards are named for Anthony Boucher (1911–1968), one of the founders of the Mystery Writers of America.


== Categories ==
Awards are voted for by members attending the annual event and are given in a number of categories, including

Anthony Award for Best Novel
Anthony Award for Best First Novel
Anthony Award for Best Paperback Original
Anthony Award for Best Short Story
Critical / Non-fiction Work
Special Service award
The ceremony may also include a number of ""wild card"" awards.


== Winners ==


=== 1980s ===


=== 1990s ===


=== 2000s ===


=== 2010s ===


=== 2020s ===


== References ==


== External links ==
Official website of Bouchercon World Mystery Convention",cultural exclusive
http://www.wikidata.org/entity/Q1866547,Livraria Bertrand,Portuguese book retailer,named entity,Books,bookstore,"Livraria Bertrand is a Portuguese book retailer operating 59 branches nationwide, including 2 in Madeira.  Founded in 1732, its original store in the Chiado neighborhood of Lisbon was declared to be the oldest operating bookstore in the world by the Guinness Book of World Records in 2011.  Bertrand has been frequented by numerous famous authors, including Alexandre Herculano, Fernando Pessoa, Eça de Queirós, Antero de Quental, Ramalho Ortigão, and the fictional protagonists of Antonio Tabucchi's short masterpiece ""The Backwards Game"".


== History ==
The history of the book and bookstores in Portugal is inseparable from that of the French. From the eighteenth century, there was the arrival of a large number of French booksellers to Portugal, including Pedro Faure, who went on to found what we know today as ""Livraria Bertrand"". Lisbon then had the presence of several compatriots of Pedro Faure, who were developing activities in the same industry, it seems, creating a tradition of printe",cultural exclusive
http://www.wikidata.org/entity/Q19081,prokaryotes,group of organisms whose cells lack a cell nucleus,concept,Biology,organism,"A prokaryote (; less commonly spelled procaryote) is a single-celled organism whose cell lacks a nucleus and other membrane-bound organelles. The word prokaryote comes from the Ancient Greek πρό (pró), meaning 'before', and κάρυον (káruon), meaning 'nut' or 'kernel'. In the earlier two-empire system arising from the work of Édouard Chatton, prokaryotes were classified within the empire Prokaryota. However, in the three-domain system, based upon molecular phylogenetics, prokaryotes are divided into two domains: Bacteria and Archaea. A third domain, Eukaryota, consists of organisms with nuclei.
Prokaryotes evolved before eukaryotes, and lack nuclei, mitochondria, and most of the other distinct organelles that characterize the eukaryotic cell. Some unicellular prokaryotes, such as cyanobacteria, form colonies held together by biofilms, and large colonies can create multilayered microbial mats. Prokaryotes are asexual, reproducing via binary fission. Horizontal gene transfer is common as w",cultural agnostic
http://www.wikidata.org/entity/Q474090,narrative poetry,type of poetry which tells a story,concept,Literature,poetry,"Narrative poetry is a form of poetry that tells a story, often using the voices of both a narrator and characters; the entire story is usually written in metered verse. Narrative poems do not need to rhyme. The poems that make up this genre may be short or long, and the story it relates to may be complex. It is normally dramatic, with various characters. Narrative poems include all epic poetry, and the various types of ""lay"", most ballads,  and some idylls, as well as many poems not falling into a distinct type.
Some narrative poetry takes the form of a novel in verse. An example of this is The Ring and the Book by Robert Browning. In terms of narrative poetry, romance is a narrative poem that tells a story of chivalry. Examples include the Romance of the Rose or Tennyson's  Idylls of the King. Although those examples use medieval and Arthurian materials, romances may also tell stories from classical mythology. Sometimes, these short narratives are collected into interrelated groups, a",cultural agnostic
http://www.wikidata.org/entity/Q1266300,Neue Slowenische Kunst,micronation,named entity,Visual Arts,art movement,"Neue Slowenische Kunst (German: [ˈnɔʏə sloˈveːnɪʃə ˈkʊnst]; NSK; German for 'New Slovenian Art') is a political art collective that formed in Slovenia in 1984, when the Socialist Republic of Slovenia was part of Socialist Federal Republic of Yugoslavia. NSK's name was chosen to reflect the theme in its works of the complicated relationship Slovenes have had with Germans. The name of NSK's music wing, Laibach, is also the German name of the Slovene capital Ljubljana. The name created controversy because some felt it evoked memories of the Nazi annexation of Slovenia during the Second World War. It also refers to Slovenia's previous seven centuries as part of the Habsburg monarchy.


== Composition ==
NSK was founded by the musical group Laibach. Other NSK members include groups such as IRWIN (visual art), Scipion Nasice Sisters Theatre (also known as Red Pilot and Cosmokinetic Theatre Noordung), New Collective Studio (graphics; also known as New Collectivism), Retrovision (film and vide",cultural exclusive
http://www.wikidata.org/entity/Q193654,short-track speed skating,"winter sport, in which skaters skate on an oval ice track with a length of 111.12 m",concept,sports,sport,"Short-track speed skating is a form of competitive ice speed skating. In competitions, multiple skaters (typically between four and six) skate on an oval ice track with a length of 111.111 metres (364.54 ft). The rink itself is 60 metres (196.85 ft) long by 30 metres (98.43 ft) wide, which is the same size as an Olympic-sized figure skating rink and an international-sized ice hockey rink. Related sports include long-track speed skating and inline speed skating.


== History ==
Short-track skating developed from speed skating events that were held with mass starts. This form of speed skating was mainly practised in the United States and Canada, as opposed to the international form (derived from Europe), where athletes skated in pairs. At the 1932 Winter Olympics, speed skating events were conducted in the mass start form. Competitions in North America tended to be held indoors, for example in Madison Square Garden, New York, and therefore on shorter tracks than was usual for outdoor ska",cultural representative
http://www.wikidata.org/entity/Q372,We Live in Public,2009 documentary film,named entity,Films,film,"We Live In Public is a 2009 documentary film by Ondi Timoner about Internet pioneer Josh Harris, indirectly highlighting the loss of privacy in the Internet age.


== Synopsis ==
The film details the experiences of Josh Harris, a dot-com millionaire who founded Pseudo.com, and who became interested in human experiments testing the effects of media and technology on the development of personal identity. To that end, Harris created the art project ""Quiet: We Live in Public"", which placed more than one hundred artists in a human terrarium under New York City, with a myriad of webcams following and capturing their every move. Each pod was outfitted by artist Jeff Gompertz with cameras and screens to allow every occupant to monitor every other pod. Following that project, Harris outfitted a loft with 30 surveillance cameras and 66 microphones, broadcasting online his own life with his new girlfriend for a planned 100 days, ""becoming the rat in his own experiment"". She left and the couple br",cultural agnostic
http://www.wikidata.org/entity/Q820887,University of Florence,university in Italy,named entity,History,archive,"The University of Florence (Italian: Università degli Studi di Firenze) (in acronym UNIFI) is an Italian public research university located in Florence, Italy. It comprises 12 schools and has around 50,000 students enrolled.


== History ==
The first university in Florence was the Studio Fiorentino which was established by the Florentine Republic in 1321. The Studium was recognized by Pope Clement VI in 1349, and authorized to grant regular degrees. The Pope also established that the first Italian faculty of theology would be in Florence. The Studium became an imperial university in 1364, but was moved to Pisa in 1473 when Lorenzo the Magnificent gained control of Florence. Charles VIII moved it back from 1497 to 1515, but it was moved to Pisa again when the Medici family returned to power.
The modern university dates from 1859, when a group of disparate higher-studies institutions grouped together in the Istituto di Studi Pratici e di Perfezionamento, which a year later was recognized",cultural exclusive
http://www.wikidata.org/entity/Q503269,seamount,mountain rising from the ocean floor that does not reach the water's surface,concept,Geography,mountain,"A seamount is a large submarine landform that rises from the ocean floor without reaching the water surface (sea level), and thus is not an island, islet, or cliff-rock. Seamounts are typically formed from extinct volcanoes that rise abruptly and are usually found rising from the seafloor to 1,000–4,000 m (3,300–13,100 ft) in height. They are defined by oceanographers as independent features that rise to at least 1,000 m (3,281 ft) above the seafloor, characteristically of conical form. The peaks are often found hundreds to thousands of meters below the surface, and are therefore considered to be within the deep sea. During their evolution over geologic time, the largest seamounts may reach the sea surface where wave action erodes the summit to form a flat surface.  After they have subsided and sunk below the sea surface, such flat-top seamounts are called ""guyots"" or ""tablemounts"".
Earth's oceans contain more than 14,500 identified seamounts, of which 9,951 seamounts and 283 guyots, c",cultural agnostic
http://www.wikidata.org/entity/Q57318,free imperial city,self-ruling city that enjoyed Imperial immediacy in the Holy Roman Empire,concept,Geography,city,"In the Holy Roman Empire, the collective term free and imperial cities (German: Freie und Reichsstädte), briefly worded free imperial city (Freie Reichsstadt, Latin: urbs imperialis libera), was used from the 15th century to denote a self-ruling city that had a certain amount of autonomy and was represented in the Imperial Diet. 
An imperial city held the status of imperial immediacy, and was subordinate only to the Holy Roman Emperor, as opposed to a territorial city or town (Landstadt), which was subordinate to a territorial prince – be it an ecclesiastical lord (prince-bishop, prince-abbot), or a secular prince (duke (Herzog), margrave, count (Graf), etc.).


== Origin ==
The evolution of some German cities into self-ruling constitutional entities of the Empire was slower than that of the secular and ecclesiastical princes. In the course of the 13th and 14th centuries, some cities were promoted by the emperor to the status of Imperial Cities (Reichsstädte; Urbes imperiales), essenti",cultural exclusive
http://www.wikidata.org/entity/Q25239,Alnus,genus of plants,concept,Biology,tree,"Alders are trees of the genus Alnus in the birch family Betulaceae. The genus includes about 35 species of monoecious trees and shrubs, a few reaching a large size, distributed throughout the north temperate zone with a few species extending into Central America, as well as the northern and southern Andes.


== Description ==

With a few exceptions, alders are deciduous, and the leaves are alternate, simple, and serrated. The flowers are catkins with elongate male catkins on the same plant as shorter female catkins, often before leaves appear; they are mainly wind-pollinated, but also visited by bees to a small extent. These trees differ from the birches (Betula, another genus in the family) in that the female catkins are woody and do not disintegrate at maturity, opening to release the seeds in a similar manner to many conifer cones.
The largest species are red alder (A. rubra) on the west coast of North America, and black alder (A. glutinosa), native to most of Europe and widely intr",cultural agnostic
http://www.wikidata.org/entity/Q47195,trick-or-treating,Halloween custom in which costumed children go from house to house to ask for candy,concept,Gestures and habits,tradition,"Trick-or-treating is a traditional  Halloween custom for children and adults in some countries. During the evening of Halloween, on October 31, people in costumes travel from house to house, asking for treats with the phrase ""trick or treat"". The ""treat"" is some form of confectionery, usually candy/sweets, although in some cultures money is given instead. The ""trick"" refers to a threat, usually idle, to perform mischief on the resident(s) or their property if no treat is given. Some people signal that they are willing to hand out treats by putting  up Halloween decorations outside their doors; houses may also leave their porch lights on as a universal indicator that they have candy; some simply leave treats available on their porches for the children to take freely, on the honor system. 
The history of trick-or-treating traces back to Scotland and Ireland, where the tradition of guising, going house to house at Halloween and putting on a small performance to be rewarded with food or tr",cultural exclusive
http://www.wikidata.org/entity/Q83368,empiricism,theory that states that knowledge comes only or primarily from sensory experience,concept,philosophy and religion,philosophical movement,"In philosophy, empiricism is an epistemological view which holds that true knowledge or justification comes only or primarily from sensory experience and empirical evidence. It is one of several competing views within epistemology, along with rationalism and skepticism. Empiricists argue that empiricism is a more reliable method of finding the truth than purely using logical reasoning, because humans have cognitive biases and limitations which lead to errors of judgement. Empiricism emphasizes the central role of empirical evidence in the formation of ideas, rather than innate ideas or traditions. Empiricists may argue that traditions (or customs) arise due to relations of previous sensory experiences. 
Historically, empiricism was associated with the ""blank slate"" concept (tabula rasa), according to which the human mind is ""blank"" at birth and develops its thoughts only through later experience. 
Empiricism in the philosophy of science emphasizes evidence, especially as discovered in ",cultural agnostic
http://www.wikidata.org/entity/Q42601,David Ginola,French footballer (born 1967),named entity,Fashion,model,"David Ginola-Ceze (born 25 January 1967) is a French former professional footballer. A television personality, he has also worked as an actor, model and football pundit.
A forward, Ginola played for ten seasons in France with Toulon, Racing Paris, Brest and Paris Saint-Germain before moving to Newcastle United in the English Premier League in July 1995. He subsequently played for Tottenham Hotspur, Aston Villa and Everton before retiring in 2002. At international level, he made 17 appearances, scoring three goals, for the France national team between 1990 and 1995.
Since his retirement from football, he has become involved in football punditry and acting. Ginola is a regular contributor to BBC, BT Sport and CNN. He has hosted Match of ze Day, a program which broadcasts live Premier League matches on Canal+. In January 2015, Ginola attempted to run for the FIFA presidency but withdrew after failing to receive the required backing of at least five national football associations.


== Ear",cultural exclusive
http://www.wikidata.org/entity/Q654057,Tuscan order,Architectural order,concept,architecture,architectural style,"The Tuscan order (Latin Ordo Tuscanicus or Ordo Tuscanus, with the meaning of Etruscan order) is one of the two classical orders developed by the Romans, the other being the composite order. It is influenced by the Doric order, but with un-fluted columns and a simpler entablature with no triglyphs or guttae. While relatively simple columns with round capitals had been part of the vernacular architecture of Italy and much of Europe since at least Etruscan architecture, the Romans did not consider this style to be a distinct architectural order (for example, the Roman architect Vitruvius did not include it alongside his descriptions of the Greek Doric, Ionic, and Corinthian orders). Its classification as a separate formal order is first mentioned in Isidore of Seville's 6th-century Etymologiae and refined during the Italian Renaissance.
Sebastiano Serlio described five orders including a ""Tuscan order"", ""the solidest and least ornate"", in his fourth book of Regole generali di architettur",cultural exclusive
http://www.wikidata.org/entity/Q446523,epyllion,short epic poem,concept,Literature,literary genre,"In classical studies the term epyllion (Ancient Greek: ἐπύλλιον, plural: ἐπύλλια, epyllia) refers to a comparatively short narrative poem (or discrete episode within a longer work) that shows formal affinities with epic, but betrays a preoccupation with themes and poetic techniques that are not generally or, at least, primarily characteristic of epic proper.


== Etymology and modern usage ==
Ancient Greek ἐπύλλιον (epyllion) is the diminutive of ἔπος (epos) in that word's senses of ""verse"" or ""epic poem""; Liddell and Scott's Greek–English Lexicon thus defines ἐπύλλιον as a ""versicle, scrap of poetry"" or ""short epic poem"", citing for the latter definition Athenaeus, Deipnosophistae 2.68 (65a–b):

This is in fact the only ancient instance of the word that shows anything approaching the connotations with which it is most often employed by modern scholars, and epyllion did not enter the common language of criticism until the 19th century. Wolf was apparently responsible for popularizing t",cultural agnostic
http://www.wikidata.org/entity/Q1695743,post in ground,"type of construction in which vertical, roof-bearing timbers, called posts, are in direct contact with the ground. They may be placed into excavated post holes, driven into the ground, or on sills which are set on the ground without a foundation",concept,architecture,building,"A post in ground construction, also called earthfast or hole-set posts, is a type of construction in which vertical, roof-bearing timbers, called posts, are in direct contact with the ground. They may be placed into excavated postholes, driven into the ground, or on sills which are set on the ground without a foundation. Earthfast construction is common from the Neolithic period to the present and is used worldwide. Post-in-the-ground construction is sometimes called an ""impermanent"" form, used for houses which are expected to last a decade or two before a better quality structure can be built.
Post in ground construction can also include sill on grade, wood-lined cellars, and pit houses. Most pre-historic and medieval wooden dwellings worldwide were built post in ground.


== History ==
This type of construction is often believed  to be an intermediate form between a palisade construction and a stave construction. Because the postholes are easily detected in archaeological surveys, th",cultural agnostic
http://www.wikidata.org/entity/Q5188176,cross-gender acting,actors portraying characters of the opposite sex,concept,Films,acting style,"Cross-gender acting, also called cross-gender casting or cross-casting, is when actors or actresses portray a character of the opposite sex. It is distinct from both transgender and cross-dressing character roles.
Cross-gender acting often interacts with complex cultural ideas about gender. It has a diverse history across many cultures, including English Renaissance theatre, French theatre, Japanese theatre, Indian theatres, and Ethiopian theatre.
In many contexts, such as English and Indian theatres, cross-gender acting is linked to the oppression of women. Many societies prohibited women from performing on stage, so boys and men took the female roles. Female impersonation often decreased in popularity as women gained this right.
Female cross-cast roles are commonly young boy characters, or, in the case of theatre companies like the Takarazuka Revue Company, male heroes.
Some cultures, like Tang and Yuan dynasty China, had traditions of cross-gender acting for both men and women concu",cultural representative
http://www.wikidata.org/entity/Q154168,toast,ritual in which a drink is taken,concept,Gestures and habits,ritual,"A toast is a ritual during which a drink is taken as an expression of honor or goodwill. The term may be applied to the person or thing so honored, the drink taken, or the verbal expression accompanying the drink. Thus, a person could be ""the toast of the evening"", for whom someone ""proposes a toast"" to congratulate and for whom a third person ""toasts"" in agreement. The ritual forms the basis of the literary and performance genre, of which Mark Twain's ""To the Babies"" is a well-known example.
The toast as described in this article is rooted in Western culture, but certain cultures outside that sphere have their own traditions in which consuming a drink is connected with ideas of celebration and honor. While the physical and verbal ritual of the toast may be elaborate and formal, merely raising one's glass towards someone or something or clinking glasses with someone else's and then drinking is essentially a toast as well, the message being one of goodwill towards the person or thing in",cultural agnostic
http://www.wikidata.org/entity/Q13473,beIN SPORTS,global Qatari network of sports channels,named entity,media,media company,"beIN Sports ( BEE-in) is a Qatari multinational network of sports channels owned and operated by the media group beIN. The network has played a major role in the increased commercialization of Qatari sports. Its chairman is Nasser Al-Khelaifi, and its CEO is Yousef Obaidly.
beIN Sports is the dominant television sports channel in the MENA region. It also operates channels in France, United States, Canada, Australia, New Zealand, Turkey, Hong Kong, Singapore, Brunei, Malaysia, Indonesia, Philippines and Thailand.


== History ==


=== Early career ===
Al Jazeera Media Network entered the European television rights market in June 2011 when it purchased a package of live French football Ligue 1 matches from 2012 to 2016 for €90 million a year. The deal makes them joint broadcasters of domestic top-flight football in France alongside long-term rights holders Canal+. The broadcaster also acquired the pay-TV rights to the UEFA Champions League, Europa League from 2012 to 2015, Euro 2012 and ",cultural representative
